,variable,value
Thajsko,2016-01-01,3.655
Taiwan,2016-01-01,2.5775
Čína,2016-01-01,4.92375
Německo,2016-01-02,1.602375
Thajsko,2016-01-02,4.195
Kanada,2016-01-02,5.273333333333
Lotyšsko,2016-01-02,6.205
Spojené státy americké,2016-01-02,4.798384615384
Japonsko,2016-01-02,2.0745
Rusko,2016-01-02,4.882
Norsko,2016-01-02,3.44
Švýcarsko,2016-01-02,9.565
Slovensko,2016-01-02,2.5614
Austrálie,2016-01-02,4.9025
Spojené arabské emiráty,2016-01-02,2.055
Itálie,2016-01-02,19.17
Velká Británie a Severní Irsko,2016-01-02,2.1655
Srbsko,2016-01-02,1.495
Bělorusko,2016-01-02,4.79
Ukrajina,2016-01-02,0.073
Dánsko,2016-01-02,2.67
Litva,2016-01-02,9.055
Polsko,2016-01-02,2.862333333333
Španělsko,2016-01-02,3.465
Česká republika,2016-01-02,12.5
Nizozemsko,2016-01-02,6.34
Taiwan,2016-01-02,6.525
Čína,2016-01-02,6.244347826086
Vietnam,2016-01-02,6.538
Francie,2016-01-02,2.2445
Korejská republika,2016-01-02,3.365
Švédsko,2016-01-02,2.265
Rakousko,2016-01-02,0.198
Moldavsko,2016-01-02,7.04
Thajsko,2016-01-03,8.88
Kanada,2016-01-03,4.395
Spojené státy americké,2016-01-03,1.6935
Rusko,2016-01-03,2.512666666666
Irsko,2016-01-03,4.215
Švýcarsko,2016-01-03,3.475
Jižní Afrika,2016-01-03,2.405
Slovensko,2016-01-03,3.0297
Austrálie,2016-01-03,4.283
Velká Británie a Severní Irsko,2016-01-03,3.152
Španělsko,2016-01-03,4.17
Česká republika,2016-01-03,1.62
Taiwan,2016-01-03,3.035
Čína,2016-01-03,5.750296296296
Vietnam,2016-01-03,4.611333333333
Francie,2016-01-03,2.38
Švédsko,2016-01-03,6.06
Rakousko,2016-01-03,0.07
Německo,2016-01-04,3.309069444444
Thajsko,2016-01-04,4.922
Kanada,2016-01-04,8.626133333333
Portugalsko,2016-01-04,12.17
Lotyšsko,2016-01-04,0.424
Spojené státy americké,2016-01-04,3.946056910569
Japonsko,2016-01-04,3.28925
Rusko,2016-01-04,6.645162162162
Indie,2016-01-04,1.129666666666
Irsko,2016-01-04,3.4805
Mexiko,2016-01-04,5.86
Finsko,2016-01-04,6.587666666666
Norsko,2016-01-04,2.312
Švýcarsko,2016-01-04,2.198416666666
Jižní Afrika,2016-01-04,3.76
Maďarsko,2016-01-04,4.469
Slovensko,2016-01-04,3.277271317829
Austrálie,2016-01-04,3.8458125
Spojené arabské emiráty,2016-01-04,2.5684
Uzbekistán,2016-01-04,9.16
Chorvatsko,2016-01-04,0.15475
Kuvajt,2016-01-04,1.0
