zeme,datum,pocet
Thajsko,2016-01-01,5.0
Taiwan,2016-01-01,8.0
Čína,2016-01-01,8.0
Německo,2016-01-02,32.0
Thajsko,2016-01-02,3.0
Kanada,2016-01-02,12.0
Lotyšsko,2016-01-02,3.0
Spojené státy americké,2016-01-02,39.0
Japonsko,2016-01-02,4.0
Rusko,2016-01-02,10.0
Norsko,2016-01-02,4.0
Švýcarsko,2016-01-02,3.0
Slovensko,2016-01-02,60.0
Austrálie,2016-01-02,4.0
Spojené arabské emiráty,2016-01-02,3.0
Itálie,2016-01-02,1.0
Velká Británie a Severní Irsko,2016-01-02,12.0
Srbsko,2016-01-02,4.0
Bělorusko,2016-01-02,1.0
Ukrajina,2016-01-02,3.0
Dánsko,2016-01-02,2.0
Litva,2016-01-02,1.0
Polsko,2016-01-02,18.0
Španělsko,2016-01-02,5.0
Česká republika,2016-01-02,2.0
Nizozemsko,2016-01-02,5.0
Taiwan,2016-01-02,5.0
Čína,2016-01-02,23.0
Vietnam,2016-01-02,8.0
Francie,2016-01-02,8.0
Korejská republika,2016-01-02,12.0
Švédsko,2016-01-02,3.0
Rakousko,2016-01-02,3.0
Moldavsko,2016-01-02,3.0
Thajsko,2016-01-03,5.0
Kanada,2016-01-03,2.0
Spojené státy americké,2016-01-03,18.0
Rusko,2016-01-03,3.0
Irsko,2016-01-03,3.0
Švýcarsko,2016-01-03,4.0
Jižní Afrika,2016-01-03,2.0
Slovensko,2016-01-03,50.0
Austrálie,2016-01-03,25.0
Velká Británie a Severní Irsko,2016-01-03,2.0
Španělsko,2016-01-03,4.0
Česká republika,2016-01-03,2.0
Taiwan,2016-01-03,4.0
Čína,2016-01-03,135.0
Vietnam,2016-01-03,6.0
Francie,2016-01-03,4.0
Švédsko,2016-01-03,12.0
Rakousko,2016-01-03,1.0
Německo,2016-01-04,288.0
Thajsko,2016-01-04,25.0
Kanada,2016-01-04,15.0
Portugalsko,2016-01-04,2.0
Lotyšsko,2016-01-04,2.0
Spojené státy americké,2016-01-04,246.0
Japonsko,2016-01-04,8.0
Rusko,2016-01-04,74.0
Indie,2016-01-04,3.0
Irsko,2016-01-04,8.0
Mexiko,2016-01-04,2.0
Finsko,2016-01-04,12.0
Norsko,2016-01-04,18.0
Bosna a Hercegovina,2016-01-04,12.0
Švýcarsko,2016-01-04,72.0
Jižní Afrika,2016-01-04,2.0
Maďarsko,2016-01-04,27.0
Slovensko,2016-01-04,2064.0
Austrálie,2016-01-04,48.0
Spojené arabské emiráty,2016-01-04,25.0
Uzbekistán,2016-01-04,5.0
Chorvatsko,2016-01-04,4.0
Kuvajt,2016-01-04,4.0
Itálie,2016-01-04,96.0
Bulharsko,2016-01-04,20.0
Kypr,2016-01-04,30.0
Lucembursko,2016-01-04,4.0
Velká Británie a Severní Irsko,2016-01-04,250.0
Kolumbie,2016-01-04,2.0
Kazachstán,2016-01-04,6.0
Malajsie,2016-01-04,5.0
Turecko (včetně Severokyperské Republiky),2016-01-04,10.0
Bělorusko,2016-01-04,12.0
Řecko,2016-01-04,12.0
Slovinsko,2016-01-04,15.0
Island,2016-01-04,1.0
Ukrajina,2016-01-04,40.0
